id,age,salary,department,join_date,performance_score
121,58,71767.15,Engineering,2022-05-22,
122,45,64389.06,Marketing,2022-12-18,3.0
123,24,82297.74,Sales,2022-07-12,4.0
124,26,38489.79,Sales,2022-01-24,4.0
125,25,63084.81,Engineering,2020-02-04,1.0
126,29,52750.13,Sales,2021-03-20,5.0
127,51,82847.04,Engineering,2020-04-02,3.0
128,50,37875.53,Sales,2020-12-18,
129,65,37404.17,HR,2022-06-21,2.0
130,40,41009.11,Engineering,2022-05-11,2.0
131,41,18141.56,Sales,2020-06-07,
132,54,42113.67,Marketing,2022-08-14,5.0
133,52,38613.01,Sales,2020-01-24,3.0
134,61,52255.91,Marketing,2021-02-07,4.0
135,57,55126.34,Marketing,2022-03-15,2.0
136,39,78142.56,HR,2021-05-30,1.0
137,44,64256.36,Engineering,2022-01-01,3.0
138,52,41346.45,Sales,2021-06-15,1.0
139,18,36523.78,HR,2022-08-13,3.0
140,52,57378.79,Sales,2020-05-31,5.0
141,54,30196.5,Marketing,2022-08-04,3.0
142,64,77471.88,Engineering,2021-08-30,3.0
143,31,67691.6,Sales,2021-02-23,1.0
144,20,42962.37,Sales,2022-05-15,
145,18,24302.98,Marketing,2021-07-31,1.0
146,22,70308.09,Sales,2020-11-30,3.0
147,43,48281.9,Sales,2022-07-20,
148,31,68567.24,Marketing,2020-10-21,2.0
149,56,26083.59,HR,2022-01-24,3.0
150,44,41009.37,Marketing,2020-07-04,2.0
151,26,50078.66,HR,2021-09-28,1.0
152,32,50704.71,Engineering,2021-06-13,2.0
153,32,43249.02,HR,2020-01-21,5.0
154,43,59342.75,HR,2022-06-29,3.0
155,59,33985.69,Engineering,2022-05-16,3.0
156,30,47864.31,HR,2022-03-04,
157,68,51804.43,Marketing,2020-04-09,5.0
158,49,57716.58,HR,2022-01-21,3.0
159,56,60674.22,Engineering,2021-04-22,2.0
160,66,33130.37,Marketing,2022-07-28,4.0
161,69,26988.29,Engineering,2021-06-09,2.0
162,49,69165.15,Engineering,2020-11-29,3.0
163,21,54984.71,Sales,2020-01-02,3.0
164,47,38772.7,Sales,2021-01-09,1.0
165,54,73267.28,Engineering,2020-10-19,5.0
166,40,51735.12,Engineering,2022-04-16,3.0
167,56,67689.46,Engineering,2022-10-01,3.0
168,62,51012.78,Sales,2021-07-06,1.0
169,32,80911.22,Sales,2020-11-13,
170,60,76330.11,HR,2021-01-15,2.0
171,46,46265.54,HR,2020-01-14,4.0
172,53,64573.56,Engineering,2021-05-18,2.0
173,30,59680.64,Marketing,2020-08-18,3.0
174,49,70529.47,Marketing,2020-05-09,3.0
175,24,35526.15,Sales,2022-04-17,1.0
176,68,60290.77,Sales,2022-06-09,3.0
177,39,65876.37,Sales,2020-01-28,
178,45,23618.91,Engineering,2020-03-06,5.0
179,19,32251.12,Marketing,2020-09-17,3.0
180,59,19411.52,HR,2021-04-04,1.0
181,62,45958.9,Engineering,2020-10-27,2.0
182,23,60763.13,HR,2022-07-07,2.0
183,45,72535.36,HR,2020-10-13,4.0
184,45,51111.42,Engineering,2022-10-30,3.0
185,61,74429.23,HR,2021-09-21,3.0
186,61,29298.48,Marketing,2020-09-26,1.0
187,37,24449.26,HR,2021-08-14,1.0
188,47,49166.78,Marketing,2022-04-23,
189,28,55760.98,Marketing,2022-05-11,3.0
190,45,49509.58,Marketing,2020-05-12,4.0
191,42,18988.37,Sales,2022-08-29,2.0
192,56,48663.2,HR,2021-05-27,1.0
193,50,30432.96,Engineering,2020-11-08,3.0
194,18,60045.09,Engineering,2021-07-29,4.0
195,44,55498.97,HR,2022-06-04,3.0
196,69,35901.8,Sales,2021-11-17,4.0
197,30,42292.0,Sales,2020-06-13,2.0
198,58,34111.8,Marketing,2020-10-31,1.0
199,20,49059.81,HR,2020-06-04,4.0
200,56,64327.13,HR,2021-09-11,3.0
201,23,35214.11,Engineering,2022-08-14,2.0
202,25,57560.7,HR,2020-11-29,3.0
203,44,42046.14,Sales,2022-08-26,4.0
204,26,38106.91,HR,2021-05-25,3.0
205,54,48394.54,Engineering,2022-11-09,3.0
206,50,34471.37,Marketing,2020-10-08,2.0
207,68,41695.26,Engineering,2022-03-07,3.0
208,59,32031.83,Engineering,2022-10-21,3.0
209,61,79470.88,Marketing,2020-04-28,4.0
210,41,50528.95,Engineering,2022-11-24,4.0
211,32,39504.12,Engineering,2020-07-16,4.0
212,49,53209.7,HR,2021-04-29,
213,49,48315.08,HR,2022-12-18,3.0
214,41,46685.46,Marketing,2022-04-16,4.0
215,58,59212.5,HR,2022-10-05,3.0
216,69,61362.62,HR,2021-11-21,4.0
217,66,42042.48,Engineering,2022-11-01,4.0
218,66,41362.73,Sales,2021-05-04,3.0
219,69,45874.22,HR,2020-10-02,3.0
220,29,15471.18,Sales,2021-11-23,1.0
221,56,27272.13,HR,2020-08-29,2.0
222,19,70503.11,HR,2020-05-05,3.0
223,20,74674.52,Marketing,2020-08-04,4.0
224,66,46264.46,Marketing,2022-11-28,1.0
225,54,58648.35,Marketing,2021-05-09,1.0
226,66,54668.75,Sales,2021-03-02,3.0
227,34,96183.21,Engineering,2022-07-07,
228,66,66793.62,HR,2020-05-30,1.0
229,19,48081.24,HR,2021-01-18,
230,19,35666.89,HR,2020-11-03,1.0
231,45,25903.31,Sales,2022-01-15,1.0
232,40,53051.95,Marketing,2022-06-10,2.0
233,54,38654.74,Engineering,2021-01-09,2.0
234,49,28666.19,Sales,2022-10-28,4.0
235,50,40301.41,Marketing,2020-05-08,3.0
236,18,33776.78,Sales,2022-10-11,3.0
237,36,75307.12,Engineering,2021-10-30,1.0
238,19,63224.6,Marketing,2021-05-31,1.0
239,61,49880.41,Sales,2020-03-26,3.0
240,43,72199.16,Engineering,2020-11-06,
241,49,51160.52,HR,2021-03-02,3.0
242,23,37080.74,Engineering,2020-04-23,3.0
243,49,72846.86,HR,2020-10-29,3.0
244,21,58083.65,Sales,2022-01-13,
245,28,34441.31,Marketing,2021-08-10,2.0
246,34,47144.92,Marketing,2022-09-13,3.0
247,55,36865.73,Sales,2020-12-10,1.0
248,41,29258.0,Marketing,2022-03-24,3.0
249,22,63892.66,Marketing,2022-03-11,3.0
250,69,78641.25,HR,2022-10-21,5.0
251,51,29021.49,Sales,2022-12-12,1.0
252,23,58444.54,Engineering,2022-12-28,4.0
253,39,40240.36,HR,2020-12-26,3.0
254,28,42693.12,Sales,2022-10-06,2.0
255,65,41114.09,HR,2021-12-04,1.0
256,33,37040.14,Engineering,2021-07-28,3.0
257,50,50727.82,Engineering,2021-11-18,1.0
258,26,37535.75,Sales,2022-02-19,2.0
259,23,54056.85,Engineering,2021-08-07,
260,33,49246.43,HR,2021-08-11,4.0
261,46,46415.78,Engineering,2021-05-03,4.0
262,20,36386.55,HR,2022-08-28,3.0
263,37,41348.43,HR,2021-05-08,2.0
264,53,61330.87,Engineering,2020-01-19,1.0
265,36,57513.76,Sales,2021-01-31,3.0
266,43,35336.67,Marketing,2022-09-27,3.0
267,20,51489.98,Engineering,2022-04-30,1.0
268,36,61270.81,HR,2022-04-01,3.0
269,37,24958.92,HR,2021-03-30,5.0
270,49,58150.4,Engineering,2021-12-25,3.0
271,24,40060.64,Sales,2022-12-24,3.0
272,69,58558.98,Sales,2021-12-11,5.0
273,58,38551.11,HR,2020-05-22,1.0
274,50,22926.77,HR,2022-07-05,3.0
275,57,25586.86,Sales,2022-04-07,5.0
276,56,50721.27,Marketing,2021-08-27,1.0
277,35,53895.84,Engineering,2020-10-31,3.0
278,57,36435.25,HR,2022-01-05,3.0
279,18,59578.89,HR,2020-10-17,3.0
280,28,25077.2,Sales,2020-04-11,3.0
281,45,49008.8,Engineering,2022-05-16,5.0
282,42,31834.76,Sales,2022-08-25,4.0
283,67,40222.46,Engineering,2022-08-31,
284,40,50710.98,Engineering,2022-04-21,4.0
285,48,37093.8,Engineering,2022-08-19,1.0
286,47,44231.67,HR,2022-07-30,2.0
287,59,65094.39,Marketing,2022-10-23,3.0
288,52,41346.62,Sales,2020-03-25,3.0
289,24,62535.38,Marketing,2020-11-23,2.0
290,33,33054.4,Sales,2022-03-26,5.0
291,43,57947.06,Engineering,2021-03-29,3.0
292,65,71623.53,HR,2021-09-20,3.0
293,69,12925.33,Marketing,2021-10-26,
294,66,38046.57,HR,2020-01-12,5.0
295,19,58656.08,Sales,2020-10-30,5.0
296,18,46954.32,HR,2022-09-01,4.0
297,65,55567.19,HR,2022-02-21,
298,29,40940.22,Marketing,2020-02-12,
299,22,51298.85,Engineering,2022-08-01,1.0
300,54,47664.84,HR,2020-12-08,1.0
301,49,67516.73,Engineering,2021-05-12,2.0
302,26,53816.31,Sales,2020-12-29,5.0
303,58,55064.04,HR,2022-06-09,3.0
304,52,43821.85,Marketing,2021-03-02,
305,36,42685.91,Sales,2022-10-01,2.0
306,65,43511.63,Sales,2020-01-21,
307,33,55916.78,Marketing,2021-02-10,
308,20,43685.23,HR,2021-09-10,2.0
309,37,54346.62,HR,2022-10-11,2.0
310,41,81131.01,Sales,2020-12-01,4.0
311,50,63066.87,HR,2021-02-02,5.0
312,41,45109.65,Engineering,2022-03-03,2.0
313,69,68018.21,Marketing,2021-12-15,2.0
314,28,43878.87,Engineering,2020-02-20,4.0
315,66,19428.13,HR,2020-11-19,2.0
316,25,34878.71,Sales,2022-02-27,1.0
317,53,21938.12,Marketing,2020-05-20,4.0
318,55,44727.3,HR,2021-04-14,
319,57,50276.28,HR,2022-02-25,3.0
320,37,75146.56,Sales,2022-08-21,3.0
321,52,54903.91,Sales,2022-10-04,2.0
322,65,46713.49,Engineering,2021-01-07,2.0
323,42,62441.08,Marketing,2021-05-08,4.0
324,52,16832.97,Marketing,2022-01-20,
325,42,53534.22,Sales,2020-10-17,1.0
326,46,61562.98,Engineering,2020-04-15,3.0
327,35,27821.21,Marketing,2021-10-31,3.0
328,63,67156.31,Sales,2020-01-02,1.0
329,35,55077.45,HR,2021-08-11,4.0
330,19,43770.68,Marketing,2021-10-05,2.0
331,52,59491.73,Engineering,2020-03-30,4.0
332,33,84060.39,Engineering,2020-12-15,4.0
333,58,52727.99,Engineering,2022-11-28,3.0
334,53,53723.31,HR,2022-06-27,3.0
335,50,43109.59,Marketing,2020-06-07,5.0
336,21,37252.33,Marketing,2022-08-16,1.0
337,50,62455.04,HR,2020-11-07,3.0
338,31,37158.74,Marketing,2021-03-20,1.0
339,38,51073.49,HR,2020-10-24,2.0
340,65,42835.14,HR,2022-08-09,2.0
341,37,57184.7,HR,2020-02-05,5.0
342,25,55004.93,Engineering,2021-07-12,5.0
343,24,65563.1,Marketing,2022-06-09,1.0
344,20,42349.75,HR,2020-05-20,
345,34,45951.88,Marketing,2022-06-05,3.0
346,50,35318.54,Engineering,2021-12-26,2.0
347,65,43335.6,HR,2022-11-15,
348,29,55659.51,Sales,2021-06-04,3.0
349,68,61354.83,Engineering,2020-01-10,3.0
350,39,36167.52,Sales,2022-09-10,5.0
351,39,63044.09,Marketing,2021-01-12,1.0
352,63,70334.57,Marketing,2021-11-12,2.0
353,47,56201.52,Engineering,2021-08-06,3.0
354,55,78151.94,Marketing,2020-05-31,4.0
355,55,38393.16,Sales,2021-12-20,3.0
356,62,31330.18,HR,2022-12-08,3.0
357,68,23319.2,HR,2022-05-08,1.0
358,25,72440.66,HR,2020-02-19,4.0
359,44,59815.48,Engineering,2021-10-25,2.0
360,44,49166.23,Marketing,2021-06-14,1.0
361,51,54199.53,Sales,2022-12-19,3.0
362,38,33117.66,Marketing,2022-05-06,1.0
363,47,86686.28,Marketing,2020-05-25,
364,50,51938.32,Marketing,2022-07-03,4.0
365,45,51640.92,HR,2022-09-19,3.0
366,64,60886.5,Sales,2020-08-29,3.0
367,50,57215.14,Sales,2021-08-03,2.0
368,22,53358.26,Marketing,2021-11-17,4.0
369,65,38142.88,HR,2021-04-27,1.0
370,36,57072.03,HR,2021-11-03,2.0
371,21,78230.37,Sales,2021-09-22,5.0
372,52,70181.3,HR,2021-10-22,4.0
373,66,73897.8,HR,2021-10-23,3.0
374,34,42331.76,HR,2022-03-15,2.0
375,61,35155.93,Engineering,2021-02-22,4.0
376,45,48113.2,Marketing,2022-09-14,3.0
377,47,50835.87,Sales,2021-10-11,4.0
378,46,66412.87,Sales,2022-08-26,4.0
379,63,24613.03,Engineering,2021-08-12,
380,23,72943.25,Marketing,2021-05-23,1.0
381,52,47629.88,Sales,2021-03-16,3.0
382,58,43596.78,HR,2022-07-09,1.0
383,54,34818.43,Sales,2022-02-08,2.0
384,41,25177.15,HR,2020-09-19,5.0
385,46,62347.56,Engineering,2021-09-28,3.0
386,66,51099.77,HR,2021-04-03,4.0
387,63,30650.59,Sales,2022-09-25,3.0
388,48,30573.82,Sales,2021-11-30,3.0
389,52,44963.23,Sales,2020-10-28,
390,50,75035.32,Engineering,2021-07-07,2.0
391,69,46106.13,Engineering,2020-10-14,2.0
392,38,27452.86,Marketing,2021-09-12,2.0
393,49,46313.85,Sales,2022-10-02,4.0
394,40,45909.15,HR,2020-02-05,2.0
395,50,9546.7,Engineering,2022-01-13,3.0
396,20,49185.58,Sales,2020-12-18,2.0
397,35,46535.98,Sales,2020-03-13,
398,42,60443.1,Engineering,2021-10-09,2.0
399,59,77734.34,Marketing,2022-12-29,1.0
400,48,66898.48,Engineering,2021-02-28,1.0
401,20,45966.67,Engineering,2022-09-25,
402,57,33402.11,HR,2021-12-08,2.0
403,63,88600.4,HR,2021-07-14,4.0
404,41,50888.28,Marketing,2022-04-07,2.0
405,67,50208.94,Sales,2022-08-13,2.0
406,49,49638.12,Engineering,2021-05-31,3.0
407,64,52971.27,Marketing,2021-03-03,1.0
408,39,47834.59,HR,2020-06-08,4.0
409,40,41395.07,Engineering,2020-05-28,3.0
410,19,41797.12,Sales,2022-02-14,2.0
411,44,49508.7,HR,2020-03-07,3.0
412,59,41848.63,HR,2022-10-10,1.0
413,19,39307.31,HR,2021-01-15,3.0
414,43,51596.45,Marketing,2020-02-27,2.0
415,34,46175.34,Sales,2020-12-07,4.0
416,57,72559.89,Engineering,2021-12-27,1.0
417,50,10235.45,Marketing,2022-02-08,3.0
418,26,66372.6,Marketing,2021-09-05,3.0
419,60,68691.28,Marketing,2020-12-19,
420,65,18899.15,HR,2020-04-25,2.0
421,56,44859.69,Sales,2021-10-23,3.0
422,46,44428.39,Marketing,2021-03-28,4.0
423,59,28887.32,Engineering,2020-10-13,2.0
424,43,38332.75,Sales,2022-10-13,4.0
425,52,33341.36,Engineering,2020-11-06,5.0
426,67,76284.06,Sales,2020-07-26,4.0
427,42,64035.18,Engineering,2021-09-09,1.0
428,41,69073.33,HR,2021-03-21,3.0
429,30,60825.08,Marketing,2021-10-31,2.0
430,24,33064.22,Engineering,2021-09-24,5.0
431,53,42132.2,Sales,2020-02-24,3.0
432,62,57340.62,Marketing,2022-06-30,1.0
433,37,31668.08,Marketing,2022-11-01,3.0
434,18,60694.98,Sales,2021-10-18,2.0
435,25,46395.12,Engineering,2022-09-06,5.0
436,63,44377.69,HR,2021-05-29,5.0
437,33,60664.4,HR,2020-08-24,3.0
438,31,56663.95,Engineering,2020-12-13,1.0
439,29,44585.51,Marketing,2021-09-18,3.0
440,68,67389.95,Marketing,2021-09-21,
441,40,33784.05,Marketing,2020-12-29,
442,32,59239.03,Marketing,2020-11-16,4.0
443,45,58896.52,Engineering,2020-10-12,1.0
444,51,45356.8,Marketing,2020-05-28,2.0
445,19,54892.0,Sales,2021-02-09,5.0
446,49,31233.3,Marketing,2022-09-04,2.0
447,40,63860.41,HR,2021-03-31,2.0
448,39,47226.47,Marketing,2022-03-10,5.0
449,68,42159.15,Engineering,2022-10-09,1.0
450,42,65735.14,HR,2022-02-22,4.0
451,39,39434.84,Engineering,2021-04-04,5.0
452,39,28873.08,Engineering,2022-01-07,5.0
453,66,26650.56,HR,2021-05-23,3.0
454,69,59090.15,Engineering,2021-04-25,2.0
455,59,30793.56,Engineering,2020-04-23,2.0
456,23,76321.91,Marketing,2022-01-18,4.0
457,32,18771.06,Sales,2020-12-26,4.0
458,60,75446.85,Engineering,2020-12-06,3.0
459,54,53165.26,Engineering,2022-02-08,1.0
460,50,48549.3,Engineering,2022-01-30,1.0
461,25,41826.21,Marketing,2022-08-26,
462,61,55987.04,Sales,2021-03-24,3.0
463,61,49435.48,HR,2022-04-14,2.0
464,22,66549.53,Marketing,2020-11-06,5.0
465,56,51713.41,Marketing,2020-09-18,3.0
466,21,52254.53,Sales,2021-02-09,1.0
467,23,44545.82,Sales,2020-05-22,3.0
468,62,49145.82,Marketing,2020-12-07,2.0
469,49,54617.03,HR,2020-08-31,3.0
470,69,24347.47,Marketing,2021-05-04,3.0
471,47,29777.22,Sales,2020-01-12,4.0
472,64,61148.96,HR,2021-07-14,4.0
473,52,52562.98,Sales,2020-02-11,2.0
474,57,47240.25,HR,2021-11-08,
475,69,50276.51,Engineering,2021-08-16,3.0
476,33,55213.73,Sales,2020-05-13,1.0
477,30,41903.6,Sales,2022-12-26,2.0
478,67,38325.43,Marketing,2022-10-27,
479,59,52937.68,Sales,2022-08-05,3.0
480,47,35324.41,Sales,2020-03-13,1.0
481,36,56123.79,Engineering,2021-02-02,3.0
482,34,24461.25,Sales,2021-07-31,5.0
483,36,65437.33,Engineering,2022-05-08,
484,45,57088.96,Engineering,2020-05-09,
485,43,53840.45,Engineering,2022-07-19,2.0
486,54,64740.36,Engineering,2020-09-22,4.0
487,43,74982.12,HR,2022-03-03,1.0
488,40,65215.55,Marketing,2020-09-09,2.0
489,26,22386.89,HR,2022-04-01,
490,29,30806.35,Sales,2020-06-12,4.0
491,18,40627.72,HR,2020-04-04,2.0
492,18,50391.37,HR,2022-04-12,4.0
493,64,57764.89,Sales,2020-12-01,5.0
494,51,39113.84,Sales,2022-04-01,1.0
495,49,52801.5,Sales,2020-08-25,4.0
496,65,38669.26,HR,2021-01-15,
497,42,40827.23,HR,2022-06-17,4.0
498,57,28900.08,Sales,2021-04-27,3.0
499,62,36151.5,Marketing,2022-06-20,4.0
500,18,29724.73,Marketing,2022-11-14,
94,41,53480.75,Engineering,2021-04-03,1.0
254,28,42693.12,Sales,2022-10-06,2.0
297,65,55567.19,HR,2022-02-21,
224,66,46264.46,Marketing,2022-11-28,1.0
303,58,55064.04,HR,2022-06-09,3.0
